N,eta,f_ent,fisher,crb,mc_sigma
6,0.9,1.0,19.131876000000002,0.05226878953219224,0.27070712420173204
6,0.8,0.0,4.800000000000001,0.20833333333333331,0.5230311654284628
6,0.8,0.25,4.002492235949963,0.24984433224332217,0.5464011936571709
6,0.8,0.5,4.704000000000001,0.2125850340136054,0.5170373390582619
6,0.8,0.75,6.764052669772278,0.14784036269688988,0.4290161220076188
6,0.8,1.0,9.437184000000004,0.10596381293402773,0.3699361964057571
6,0.6,0.0,3.5999999999999996,0.2777777777777778,0.6046727726571901
6,0.6,0.25,2.9614263758690003,0.3376751176893804,0.640539172951936
6,0.6,0.5,2.772,0.36075036075036077,0.6962632481875982
6,0.6,0.75,2.4246386240680113,0.4124325951395674,0.7521080719531876
6,0.6,1.0,1.6796159999999996,0.5953741807651274,0.8862093041913832
6,0.4,0.0,2.4000000000000004,0.41666666666666663,0.7689983145728325
6,0.4,0.25,1.9423024947075773,0.5148528628907284,0.83885922140035
6,0.4,0.5,1.4880000000000002,0.6720430107526881,0.9162754394937039
6,0.4,0.75,0.8458987108546934,1.1821746352936313,1.2314362243780281
6,0.4,1.0,0.14745600000000006,6.781684027777775,3.051560736281885
7,0.99,0.0,6.93,0.14430014430014432,0.42642505359475985
7,0.99,0.25,5.949776848642178,0.16807353039269263,0.49115185013043666
7,0.99,0.5,9.378291305827336,0.10662923206262911,0.36384666329861143
7,0.99,0.75,21.341915185890038,0.04685615097285826,0.24623843533818335
7,0.99,1.0,45.671202047442506,0.021895635655948275,0.16675322362439707
7,0.9,0.0,6.3,0.15873015873015872,0.4502378832619579
7,0.9,0.25,5.361708279897323,0.18650772250129766,0.5113960465380029
7,0.9,0.5,7.3859895112078,0.13539147306973012,0.41262003948820175
7,0.9,0.75,13.464211277435767,0.07427096763372003,0.3083025667120482
7,0.9,1.0,23.436548100000003,0.04266839961811611,0.23840772514476377
7,0.8,0.0,5.6000000000000005,0.17857142857142855,0.4816546517141781
7,0.8,0.25,4.718111919085876,0.21194919008910407,0.5190654311957483
7,0.8,0.5,5.604923670975737,0.17841456167875241,0.5001248688445141
7,0.8,0.75,7.806226681401355,0.12810286465066917,0.3989549827741642
7,0.8,1.0,10.276044800000003,0.09731370575573976,0.3558573914669262
7,0.6,0.0,4.2,0.23809523809523808,0.5512451480190205
7,0.6,0.25,3.463170462882605,0.28875275147953294,0.6132031889584688
7,0.6,0.5,3.1247913934064826,0.32002136274122694,0.6554857129778586
7,0.6,0.75,2.4647312107498562,0.40572375423272444,0.7210684984882954
7,0.6,1.0,1.3716863999999998,0.729029609100156,0.9533006409087148
7,0.4,0.0,2.8000000000000003,0.3571428571428571,0.6894359772951514
7,0.4,0.25,2.25403559513616,0.4436487170645559,0.7747443381095753
7,0.4,0.5,1.6479225685572012,0.6068246282199569,0.9347390838175947
7,0.4,0.75,0.8683429078654094,1.1516187797954551,1.2515261693419613
7,0.4,1.0,0.08028160000000002,12.45615433673469,3.919538479441538
8,0.99,0.0,7.92,0.12626262626262627,0.4105511012499278
8,0.99,0.25,6.9201,0.14450658227482263,0.429924890627829
